{'bisim_weight': 4, 'model_epoch': 45, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526233331_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 50, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526234632_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 5, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250526235932_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 10, 'final_success_rate': 0.0, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527001236_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 15, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527002537_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 20, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527003837_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 25, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527005137_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 30, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527010437_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 35, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527011733_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 40, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527013028_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 45, 'final_success_rate': 0.2, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc_copy_for_GadientBKSweep/plan_outputs/20250527014324_mod1_bisim_1024_coef_1_gH5/logs.json'}
