{'bisim_weight': 5, 'model_epoch': 15, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527082602_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 20, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527083857_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 25, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527085151_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 30, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527090444_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 35, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527091738_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 40, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527093032_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 45, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527094322_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 50, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527095618_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527100913_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 10, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250527102208_mod1_bisim_1024_coef_1_gH5/logs.json'}
