{'bisim_weight': 4, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526135917_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526140235_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526140620_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526140848_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526141201_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526141520_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526141838_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526142056_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526142332_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526142843_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526143335_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526143708_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526144002_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526144229_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526144614_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526144926_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526145129_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526145537_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526145922_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526150241_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526150559_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526150942_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526151325_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526151527_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526151845_mod1_bisim_1024_coef_1_gH5/logs.json'}
