{'bisim_weight': 5, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526034438_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 5, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526034935_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526035204_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 5, 'final_success_rate': 0.8, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526035703_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526040959_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526041547_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526042110_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526042518_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526042950_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526043448_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526043855_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526044441_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 6, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526045003_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 5, 'final_success_rate': 0.6, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526045435_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 7, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526050730_mod1_bisim_1024_coef_1_gH5/logs.json'}
